entity,predicate,predicate_class,role,count,articles,example_sent
AFP,tell,communicative,object,1,1,59:37
AI,enable,other,subject,1,1,84:29
Abbas Aragchi,hold,action,subject,1,1,45:3
Abbas Aragchi,say,communicative,subject,1,1,65:40
Abbas Araghchi,say,communicative,subject,4,4,8:5
Abbas Araghchi,accuse,communicative,subject,1,1,17:1
Abbas Araghchi,tell,communicative,subject,1,1,26:17
Abbas Araghchi,hail,other,subject,1,1,42:27
Abbas Araghchi,arrive,other,subject,1,1,47:3
Abbas Araghchi,continue,other,subject,1,1,48:22
Abbas Araghchi,follow,other,subject,1,1,50:50
Abraham Accords,declare,communicative,object,1,1,8:8
Abraham Accords,be,other,subject,1,1,8:9
Abraham Accords,normalise,other,subject,1,1,87:18
Abu Dhabi,call,communicative,subject,1,1,27:28
Adam Smith,tell,communicative,subject,1,1,40:36
Adm Brad Cooper,say,communicative,subject,2,2,24:12
Ahmad Vahidi,lead,other,subject,1,1,48:31
Akraminia,say,communicative,subject,1,1,14:24
Alexandra Snow,say,communicative,subject,1,1,43:2
Ali,recount,other,subject,1,1,51:52
Ali,announce,communicative,subject,1,1,51:57
Ali Larijani,include,other,object,1,1,50:9
Ali Vaez,think,mental,subject,1,1,21:28
Ali Vaez,assess,other,subject,1,1,87:13
Alliance Fairfax,exit,other,subject,1,1,27:20
Andrei,show,other,object,1,1,2:35
Andrei,wait,other,subject,1,1,2:37
Andrei,carry,other,subject,1,1,4:21
Andrew Peek,say,communicative,subject,1,1,52:33
Anna Kelly,confirm,communicative,subject,1,1,86:22
Annie Shiel,say,communicative,subject,1,1,40:40
António Guterres,say,communicative,subject,1,1,74:5
António Guterres,be,other,subject,1,1,93:13
Anura Kumara Dissanayake,say,communicative,subject,1,1,72:14
Anwar Gargash,describe,communicative,subject,1,1,60:15
Aoun,take,other,subject,1,1,67:2
Aoun,vow,communicative,subject,1,1,67:3
Aoun,appear,other,subject,1,1,67:4
Aoun,propose,other,subject,1,1,67:14
Aoun,defend,other,subject,1,1,67:29
Aoun,warn,communicative,subject,1,1,67:32
Aoun,ask,communicative,object,1,1,67:34
Aragchi,call,communicative,subject,1,1,65:41
Araghchi,say,communicative,subject,1,1,17:2
Araghchi,tell,communicative,object,1,1,42:28
Araghchi,share,other,subject,1,1,42:29
Araghchi,write,communicative,subject,1,1,45:18
Araghchi,expect,mental,passive_subject,1,1,45:21
Araghchi,meet,other,subject,1,1,47:3
Araghchi,plan,mental,subject,1,1,47:12
Araghchi,rebuke,other,object,1,1,60:25
Araghchi,stress,communicative,subject,1,1,60:28
Araqchi,tell,communicative,object,1,1,23:3
Araqchi,tell,communicative,subject,1,1,23:10
Armin,tell,communicative,subject,1,1,29:56
Armin,explain,communicative,subject,1,1,29:60
Armin,be,other,subject,1,1,29:63
Arsenio Dominguez,tell,communicative,subject,2,2,38:18
Arun Kumar,say,communicative,subject,1,1,41:26
Assaf Orion,say,communicative,subject,1,1,86:57
Atefeh Ramezanisadeh,be,other,subject,1,1,68:2
Atkinson,say,communicative,subject,6,2,2:25
Attaullah Tarar,say,communicative,subject,1,1,55:24
Axios,report,communicative,subject,5,3,20:10
Axios,describe,communicative,subject,1,1,20:6
Axios,say,communicative,subject,1,1,38:7
Axios,tell,communicative,object,1,1,45:9
Ayatollah Ali Khamenei,kill,action,passive_subject,2,2,49:34
Ayatollah Ali Khamenei,report,communicative,subject,1,1,70:25
Ayatollah Ali Khamenei,make,other,subject,1,1,87:39
Ayatollah Ruhollah Khomeini,report,communicative,subject,1,1,70:25
Aywar Shekhi,tell,communicative,subject,1,1,5:44
Azerbaijan,accuse,communicative,subject,1,1,50:39
Azizi,reflect,other,subject,1,1,60:10
Azizi,emphasise,communicative,subject,1,1,60:19
Azizi,dismiss,other,subject,1,1,60:29
Azizi,scoff,other,subject,1,1,60:38
Azizi,say,communicative,subject,1,1,60:42
Azizi,repeat,other,subject,1,1,60:45
BBC Gloucestershire,follow,other,object,1,1,46:25
BBC InDepth,be,other,subject,2,2,67:95
BBC Jersey,tell,communicative,object,1,1,75:6
BBC Jersey,follow,other,object,1,1,75:17
BBC Kent,follow,other,object,1,1,9:19
BBC London,follow,other,object,2,2,13:35
BBC Verify,check,other,subject,1,1,7:3
BBC Verify,put,other,subject,1,1,22:6
BBC Verify,analyse,other,subject,1,1,49:18
BBC Verify,see,mental,subject,1,1,71:7
BBC Verify,use,other,subject,1,1,85:11
BBC Verify,rely,other,subject,1,1,85:30
BBC World Service,tell,communicative,object,1,1,32:53
Bab al-Mandab,block,action,object,1,1,89:55
Babu,say,communicative,subject,1,1,41:49
Badea,deny,communicative,subject,2,2,2:45
Badea,fly,other,subject,1,1,2:5
Badea,allege,other,passive_subject,1,1,4:5
Baghaei,say,communicative,subject,1,1,11:13
Baghaei,ask,communicative,object,1,1,55:9
Baghaei,underline,other,subject,1,1,55:11
Baghaei,recall,other,subject,1,1,55:18
Bahrain,report,communicative,subject,1,1,50:32
Bangladesh,cut,other,passive_subject,1,1,62:15
Bank,rush,other,subject,1,1,62:49
Bansal,say,communicative,subject,1,1,41:23
Barack Obama,argue,communicative,subject,1,1,34:19
Beijing,be,other,subject,1,1,23:4
Beijing,urge,communicative,subject,1,1,23:8
Beijing,credit,other,object,1,1,23:11
Beijing,call,communicative,subject,1,1,23:14
Beijing,force,other,object,1,1,38:47
Bennett,tell,communicative,subject,1,1,1:22
Bennett,add,communicative,subject,1,1,9:5
Bessent,hold,action,subject,1,1,62:29
Bessent,be,other,subject,1,1,62:34
Bill Greer,found,other,subject,1,1,85:20
Blaha,spend,other,subject,1,1,40:46
Blanford,say,communicative,subject,1,1,67:66
Bleik,say,communicative,subject,1,1,92:24
Boxes,label,communicative,subject,1,1,51:8
Brandon-Smith,add,communicative,subject,1,1,35:30
Brandon-Smith,state,communicative,subject,1,1,35:32
Briant,say,communicative,subject,1,1,84:29
British Royal Navy,send,action,subject,1,1,14:26
Bryant,say,communicative,subject,1,1,40:24
Burch,suffer,other,subject,1,1,19:23
Burch,work,other,subject,1,1,19:26
Bushehr,operate,other,object,1,1,72:12
CBS,tell,communicative,object,1,1,21:22
CBS News,tell,communicative,object,2,2,63:18
CCTV,show,other,subject,1,1,2:35
CMA CGM,confirm,communicative,subject,1,1,59:37
CNBC,tell,communicative,object,1,1,55:27
CND,call,communicative,subject,1,1,46:7
CNN,tell,communicative,object,3,3,52:24
Caine,add,communicative,subject,1,1,22:21
Caine,say,communicative,subject,1,1,25:36
Campaign for Nuclear Disarmament (CND,organise,other,subject,1,1,46:2
Carlos Gimenez,say,communicative,subject,1,1,35:54
Centcom,say,communicative,subject,24,13,17:11
Centcom,accuse,communicative,subject,1,1,17:21
Centcom,describe,communicative,subject,1,1,18:12
Centcom,seek,mental,subject,1,1,18:14
Centcom,post,communicative,subject,1,1,22:15
Centcom,deny,communicative,subject,1,1,24:25
Centcom,prepare,other,subject,1,1,38:6
Centcom,share,other,subject,1,1,57:8
Centcom,release,action,subject,1,1,59:11
Centcom,announce,communicative,subject,1,1,71:27
Centcom,confirm,communicative,subject,1,1,80:6
Centcom,add,communicative,subject,1,1,80:7
Central Command,post,communicative,subject,1,1,22:12
Central Command,announce,communicative,subject,1,1,81:15
Champagne,say,communicative,subject,1,1,62:54
Charles,arrive,other,subject,1,1,54:14
Charles O Blaha,say,communicative,subject,1,1,40:45
China,believe,mental,subject,2,2,23:6
China,be,other,subject,2,2,23:15
China,hop,other,subject,1,1,23:7
China,appreciate,other,subject,1,1,23:9
China,import,other,subject,1,1,23:16
China,challenge,other,subject,1,1,23:18
China,visit,other,object,1,1,25:41
China,estimate,other,passive_subject,1,1,38:45
China,describe,communicative,subject,1,1,74:26
China,call,communicative,subject,1,1,76:1
China,pressure,other,object,1,1,76:5
China,urge,communicative,subject,1,1,76:11
China,prepare,other,subject,1,1,76:12
China,impose,action,prep_target,1,1,76:14
China,take,other,subject,1,1,76:14
China,report,communicative,subject,1,1,78:32
China,watch,other,subject,1,1,89:85
China,push,other,subject,1,1,89:86
Chris Sherriff,say,communicative,subject,1,1,16:3
Christoph Koettl,say,communicative,subject,1,1,85:38
Clock,be,other,subject,1,1,3:26
Committee for National Security and Foreign Policy,head,other,object,1,1,60:6
Congress,notify,other,object,3,3,30:27
Congress,make,other,subject,1,1,35:20
Congress,block,action,subject,1,1,37:24
Congress,pass,other,subject,1,1,66:21
Control of the Strait of Hormuz,become,other,subject,1,1,26:14
Cooper,say,communicative,subject,4,2,24:31
Cooper,tell,communicative,subject,1,1,91:15
Cooper,deliver,other,subject,1,1,91:18
Corbett,say,communicative,subject,1,1,19:8
Cormac McGarry,say,communicative,subject,1,1,63:26
Craig Foreman,say,communicative,subject,5,2,1:15
Craig Foreman,arrest,action,passive_subject,1,1,1:2
Craig Foreman,believe,mental,passive_subject,1,1,1:5
Craig Foreman,wait,other,subject,1,1,1:9
Craig Foreman,return,other,object,1,1,1:19
Craig Foreman,detain,action,passive_subject,1,1,9:2
Craig Foreman,be,other,subject,1,1,9:4
Craig Foreman,tell,communicative,subject,1,1,9:5
Craig Foreman,warn,communicative,subject,1,1,9:10
Craig Foreman,return,other,passive_subject,1,1,9:18
Craig Foreman,hold,action,passive_subject,1,1,36:29
Craig Foreman,jump,other,subject,1,1,36:33
Craig Foreman,assess,other,subject,1,1,36:42
Craig Foreman,interrogate,other,passive_subject,1,1,36:46
Dan Caine,say,communicative,subject,1,1,24:49
Darren Jones,tell,communicative,subject,1,1,44:2
David Satterfield,tell,communicative,subject,1,1,78:20
David Schultz,tell,communicative,subject,1,1,34:21
Dax,be,other,subject,1,1,39:31
Defence Investment Plan,be,other,subject,1,1,73:22
Democrats,vow,communicative,subject,2,2,35:45
Democrats,write,communicative,subject,1,1,40:28
Democrats,urge,communicative,subject,1,1,44:26
Dems,propose,other,subject,1,1,44:28
Department of Defense,suspend,other,object,1,1,85:5
Diako,be,other,subject,1,1,29:13
Diako,meet,other,object,1,1,29:17
Diako,want,mental,subject,1,1,29:18
Dilman Mahmoud,say,communicative,subject,1,1,13:4
DoD,say,communicative,subject,1,1,49:5
Donald Rothwell,say,communicative,subject,1,1,38:19
Dorset,say,communicative,subject,2,1,19:3
Dr Emma Briant,say,communicative,subject,1,1,84:12
Dubai,leave,other,object,1,1,42:8
Duncan Atkinson KC,say,communicative,subject,1,1,2:23
Duncan Atkinson KC,tell,communicative,subject,1,1,4:7
Ebrahim Azizi,tell,communicative,subject,1,1,60:3
Ebrahim Rezaei,write,communicative,subject,2,2,20:15
Ed Davey,say,communicative,subject,1,1,91:34
Elisa Ewers,agree,communicative,subject,1,1,35:35
Emma Barnett,bring,other,subject,3,3,67:96
Emmanuel Macron,say,communicative,subject,1,1,27:31
Epaminondas,seize,action,passive_subject,1,1,49:19
Epaminondas,attack,action,passive_subject,1,1,52:23
Epaminondas,detain,action,passive_subject,1,1,53:12
Erfan Shakourzadeh,hang,other,passive_subject,1,1,5:38
Esmaeil Baghaei,quote,other,passive_subject,2,2,28:37
Esmail Baghaei,say,communicative,subject,2,2,11:6
Esmail Baghaei,insist,communicative,subject,1,1,3:28
